"Column_Variable","Column_Variable_Label","Column_Variable_Value","Column_Variable_Value_Label","Row_Variable","Row_Variable_Label","Row_Variable_Value","Row_Variable_Value_Label","Subtable_Variable","Subtable_Variable_Label","Subtable_Variable_Value","Subtable_Variable_Value_Label","Statistic","Estimate","Standard_Error","Relative_Standard_Error","Weighted_Sample_Size","Confidence_Intrval_95pct_Lwr_Bnd","Confidence_Intrval_95pct_Upr_Bnd"
"FOODSEC","Food security status: previous 30 days","1","High food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","Total","Total","Percentage","65.509710","0.2937193","0.4483600","11204664","64.93","66.09"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","Total","Total","Percentage","11.939550","0.1871782","1.5677156","2042119","11.57","12.31"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","Total","Total","Percentage","9.394707","0.1517814","1.6156059","1606854","9.10","9.69"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","Total","Total","Percentage","13.156034","0.1989042","1.5118860","2250185","12.77","13.55"
"FOODSEC","Food security status: previous 30 days","Total","Total","Total","Total","Total","Total","BINCOME","Total income (categorical)","Total","Total","Percentage","100.000000","","","17103822","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","Total","Total","Percentage","69.987671","0.4503407","0.6434572","4911992","69.11","70.87"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","Total","Total","Percentage","10.310868","0.2980215","2.8903628","723655","9.73","10.89"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","Total","Total","Percentage","8.386002","0.2283872","2.7234341","588560","7.94","8.83"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","Total","Total","Percentage","11.315459","0.2930618","2.5899239","794161","10.74","11.89"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","Total","Total","Percentage","100.000000","","","7018368","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","Total","Total","Percentage","62.659080","0.3866555","0.6170782","6181091","61.90","63.42"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","Total","Total","Percentage","13.041773","0.2209955","1.6945207","1286524","12.61","13.47"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","Total","Total","Percentage","9.969920","0.2151232","2.1577224","983497","9.55","10.39"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","Total","Total","Percentage","14.329226","0.2700024","1.8842775","1413526","13.80","14.86"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","2","Female","BINCOME","Total income (categorical)","Total","Total","Percentage","100.000000","","","9864638","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","Total","Total","Percentage","50.530937","2.7649480","5.4717923","111580","45.11","55.95"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","Total","Total","Percentage","14.465000","1.6970627","11.7321997","31941","11.14","17.79"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","Total","Total","Percentage","15.758314","2.9556328","18.7560216","34797","9.97","21.55"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","Total","Total","Percentage","19.245748","1.9123676","9.9365717","42498","15.50","22.99"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","3","Genderqueer, gender nonconforming, or a different identity","BINCOME","Total income (categorical)","Total","Total","Percentage","100.000000","","","220816","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","53.496480","0.8936919","1.6705621","997333","51.74","55.25"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","12.801679","0.5727235","4.4738155","238661","11.68","13.92"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","11.740695","0.5803080","4.9427062","218881","10.60","12.88"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","Total","Total","Total","Total","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","21.961147","0.7416255","3.3769891","409421","20.51","23.41"
"FOODSEC","Food security status: previous 30 days","Total","Total","Total","Total","Total","Total","BINCOME","Total income (categorical)","Total","Total","Percentage","100.000000","","","1864296","",""
"FOODSEC","Food security status: previous 30 days","1","High food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","56.905643","1.3369636","2.3494393","416901","54.29","59.53"
"FOODSEC","Food security status: previous 30 days","2","Marginal food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","11.359203","0.7954141","7.0023759","83220","9.80","12.92"
"FOODSEC","Food security status: previous 30 days","3","Low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","11.249753","0.8422429","7.4867684","82418","9.60","12.90"
"FOODSEC","Food security status: previous 30 days","4","Very low food security ","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","20.485401","1.1414548","5.5720403","150080","18.25","22.72"
"FOODSEC","Food security status: previous 30 days","Total","Total","GENDER3","Gender","1","Male","BINCOME","Total income (categorical)","1","Less than $5,000","Percentage","100.000000","","","732619","",""
